OuterNeedle,InnerNeedle,InitialOilVolume__L_,deq_mm_,foil,ID,deq,StartFrame_EndFrame,ActualStartFrame,10fo,10Ar,100fo,100Ar,10CDfo,10CD,100CDfo,100CD
8G,22G,10,4.04,0.08,1082210X-2,3.92869399,711-899,13,0,1.8435,0,1.8435,0,0.721129,0,0.721129
8G,22G,10,4.04,0.08,1082210X-3,3.92755005,1024-1349,3,0.064402,1.378049,0.043094,1.45,0.08,0.679457,0.05,0.821138
8G,22G,20,4.01,0.22,1082220X-1,3.8863055,129-449,5,0.212835,1.25,0.148342,1.232558,0.22,0.552975,0.14,0.726128
8G,22G,20,4.01,0.22,1082220X-3,3.88859096,1056-1349,1,0.323192,1.193548,0.222849,1.193182,0.31,0.56666,0.21,0.750702
8G,22G,30,4.08,0.31,1082230X-1,3.96551573,190-449,0,0.483803,1.105769,0.3461,1.155556,0.38,0.654601,0.32,0.593369
8G,22G,30,4.08,0.31,1082230X-4,3.97278205,1558- 1799,0,0.51099,1.068627,0.419693,1.125,0.49,0.545755,0.43,0.584216
12G,22G,30,4.02,0.38,10122230X-3,4.17866011,998-1349,0,0.610308,1.044248,0.6,1.057143,0.61,0.641065,0.6,0.740441
12G,22G,30,4.02,0.38,10122230X-4,4.28105654,1488-1799,0,,,,,,,,
14G,22G,20,4.07,0.49,10142220X-3,4.17326273,1012-1349,0,,,,,,,,
14G,22G,20,4.07,0.49,10142220X-5,4.14609406,1933-2249,0,,,,,,,,
14G,22G,30,4.39,0.61,10142230X-2,4.45358163,590-899,0,,,,,,,,
14G,22G,30,4.39,0.61,10142230X-4,4.42757525,1472-1799,0,,,,,,,,
10G,22G,6.42,4.07,0.05,10010226X-2,7.028534846,603-899,2,,,,,,,,
10G,22G,6.42,4.07,0.05,10010226X-4,6.219493989,1509-1799,0,,,,,,,,
10G,22G,13,4.04,0.14,100102213X-1,13.3943055,148-449,0,,,,,,,,
10G,22G,13,4.04,0.14,100102213X-3,14.34755593,1067-1349,0,,,,,,,,
10G,22G,25.89,4,0.21,100102226X-2,24.65708158,591-899,9,,,,,,,,
10G,22G,25.89,4,0.21,100102226X-3,19.83963865,1079-1349,0,,,,,,,,
10G,22G,30.49,4.04,0.32,100102230X-2,29.53605068,612-899,0,,,,,,,,
10G,22G,30.49,4.04,0.32,100102230X-3,30.24797907,1058-1349,0,,,,,,,,
12G,22G,32.68,4.27,0.43,100122233X-1,32.43544137,140-449,0,,,,,,,,
12G,22G,32.68,4.27,0.43,100122233X-3,31.43128391,1075-1349,0,,,,,,,,
14G,22G,30,4.45,0.6,100142230X-2,33.45791889,576-899,0,,,,,,,,
14G,22G,30,4.45,0.6,100142230X-3,31.61035021,1019-1349,23,,,,,,,,
8G,22G,20,4.01,0.22,1082220X-2,NaN,600-899,0,,,,,,,,
8G,22G,30,4.08,0.31,1082230X-3,NaN,1088-1349,0,,,,,,,,
14G,22G,20,4.07,0.49,10142220X-2,NaN,554-899,0,,,,,,,,
10G,22G,6.42,4.07,0.05,10010226X-3,NaN,1040-1349,0,,,,,,,,
10G,22G,30.49,4.04,0.32,100102230X-1,NaN,142-449,0,,,,,,,,
,,NaN,4.04,0.14,100102213X-2,NaN,603-899,0,,,,,,,,
,,NaN,4,0.21,100102226X-1,NaN,162-449,0,,,,,,,,
