Case,d,fo,start_T,end_T,Fvd,Fv,FL,maxTheta
1,4,0,0.348137536,0.793409742,-0.000175685,0.000208886,0.000101507,0.46691884
2,4,0,0.532091691,0.956733524,-0.00016826,0.000211724,0.000119196,0.54592012
3,4,0,0.305157593,0.908595989,-0.000157881,0.000196254,0.000107255,0.578343445
4,4,0,0.508022923,0.915472779,-0.000156225,0.000199704,0.000114425,0.551134788
5,4,0,0.449570201,0.896561605,-0.000157948,0.000193723,0.000103176,0.545180418
1082210X-2,4.04,0.08,0.285601719,0.718839542,-8.95E-05,0.000146688,0.000107872,0.424661381
1082210X-3,4.04,0.08,0.294627507,0.713681948,-7.98E-05,0.000132673,9.80E-05,0.416779696
1082220X-1,4.01,0.22,0.271418338,0.711103152,-8.51E-05,0.000120139,7.61E-05,0.363262089
1082220X-2,4.01,0.22,0.275286533,0.743338109,-9.12E-05,0.000128086,8.03E-05,0.501678496
1082230X-3,4.08,0.31,0.279154728,0.778151862,-7.03E-05,0.000110436,7.84E-05,0.335538026
1082230X-4,4.08,0.31,0.23273639,0.743338109,-6.04E-05,0.000101846,7.63E-05,0.363918906
10122230X-3,4.02,0.38,0.344555874,0.80730659,-1.49E-05,4.51E-05,3.63E-05,0.311739414
10122230X-4,4.02,0.38,0.526504298,0.850286533,-9.64E-06,2.05E-05,1.60E-05,0.147473137
10142220X-3,4.07,0.49,0.380372493,0.814469914,-2.65E-05,3.32E-05,1.87E-05,0.139296339
10142220X-5,4.07,0.49,0.39756447,0.813037249,-2.68E-05,3.63E-05,2.07E-05,0.178867512
10142230X-2,4.39,0.61,0.506303725,0.912034384,-6.76E-07,1.91E-05,1.48E-05,0.1111256
10142230X-4,4.39,0.61,0.410028653,0.889684814,-4.26E-06,2.46E-05,2.06E-05,0.083624085
10010226X-2,4.07,0.05,0.330229226,0.764326648,-6.94E-05,0.000136477,0.000110088,0.472850658
10010226X-4,4.07,0.05,0.386103152,0.815329513,-0.000105605,0.00016126,0.000107715,0.43827635
100102213X-1,4.04,0.14,0.396131805,0.742836676,-6.84E-05,0.000114121,8.42E-05,0.3241776
100102213X-3,4.04,0.14,0.273997135,0.6002149,-7.26E-05,0.000111816,7.77E-05,0.301337058
100102226X-1,4,0.21,0.345988539,0.758595989,-8.85E-06,9.98E-05,6.68E-05,0.426391524
100102226X-3,4,0.21,0.310100287,0.686604585,-3.33E-05,8.31E-05,6.49E-05,0.29762919
100102230X-1,4.04,0.32,0.363180516,0.768624642,-3.83E-05,0.000117306,5.02E-05,0.273886433
100102230X-3,4.04,0.32,0.317335244,0.748567335,-4.42E-05,8.22E-05,6.25E-05,0.292623129
100122233X-1,4.27,0.43,0.375644699,0.908595989,-6.95E-05,9.72E-05,6.11E-05,0.275348634
100122233X-3,4.27,0.43,0.30730659,0.658309456,-5.29E-05,8.14E-05,5.80E-05,0.246688082
100142230X-2,4.45,0.6,0.578510029,1.022063037,-3.02E-06,2.36E-05,2.04E-05,0.229507716
100142230X-3,4.45,0.6,0.492550143,0.896561605,3.82E-06,8.87E-05,3.31E-05,0.150258696
